FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
11,11,33,065,JEFFERSON,Jefferson,FL,561,11,12,20,43,75,79,117,121,65,17,1,0 to 101,58,334,222,5,556,5,0,7,489,41,70,7,31,530,0,0,556,8,21,2,0,17,12,0,29,0,0,1,2,2,4,7,7,4,4,0,22 to 95,58,9,14,6,0,3,25,1,4,2,7,0,0,4,31,14,17,29,2,0,861,3,896,864,31,4,54,16,66,2.2049309352502724,0.14849665622997743
12,12,40,079,MADISON,Madison,FL,1020,42,33,85,112,122,139,149,176,106,49,7,0 to 99,53,649,364,7,997,23,0,25,888,53,221,12,75,944,1,0,996,28,43,4,0,42,29,0,71,2,0,8,4,10,8,18,10,4,11,0,0 to 98,57,21,42,5,3,2,56,13,12,0,4,0,1,3,75,30,45,71,4,0,1335,19,1431,1354,75,3,128,25,56,2.169691637311982,0.1740263300452793
13,13,39,077,LIBERTY,Liberty,FL,2215,3,4,157,690,561,398,268,93,28,5,8,0 to 92,38,168,2038,9,2215,0,0,1,2000,1,82,0,218,1997,0,0,2215,215,3,0,0,5,213,0,218,0,0,13,57,53,54,36,5,0,0,0,20 to 73,41,115,96,5,2,7,132,79,5,0,1,0,0,1,218,213,5,218,0,0,2073,0,2293,2073,218,1,37,13,49,3.020973914923982,0.20464132709324395
14,14,24,047,HAMILTON,Hamilton,FL,1956,13,21,155,529,405,314,238,166,69,42,4,0 to 118,41,421,1505,30,1950,6,0,32,1857,9,268,5,268,1688,0,0,1950,257,8,2,1,29,236,0,265,2,4,26,80,54,50,40,9,3,0,0,0 to 84,38,118,115,26,6,37,84,144,18,1,6,0,0,2,268,238,30,265,3,0,2085,3,2357,2088,268,2,11,9,50,2.301523665227496,0.12636783551306294
15,15,3,005,BAY,Bay,FL,3203,37,31,207,390,419,531,618,441,287,187,55,0 to 119,54,1794,1355,54,3174,29,0,61,3053,28,158,43,139,3040,0,24,3154,104,29,6,0,57,76,0,133,3,1,15,27,19,32,19,11,10,2,0,2 to 93,47,108,12,6,7,37,86,10,32,2,15,1,1,4,139,79,60,133,6,0,5065,19,5226,5084,139,4,48,40,50,5.422685209627352,0.1810274207185009
16,16,12,023,COLUMBIA,Columbia,FL,3391,86,99,234,403,422,442,664,546,286,199,10,0 to 119,55,1916,1374,101,3376,15,0,184,3063,63,274,16,177,3210,0,4,3372,145,30,2,0,87,88,0,175,5,9,19,39,27,30,28,12,5,3,0,0 to 97,41,82,78,13,2,16,153,6,7,0,15,0,0,2,177,90,87,175,2,0,4618,13,4814,4631,177,2,10,8,46,2.6336786210355756,0.19383765365800731
17,17,2,003,BAKER,Baker,FL,884,30,14,95,131,120,143,148,103,66,32,2,0 to 99,48,490,341,53,824,60,0,22,840,16,62,3,30,854,0,0,824,10,20,0,0,18,12,0,30,0,0,3,3,4,1,5,6,5,3,0,20 to 97,63,21,7,2,0,0,29,1,8,0,11,0,0,4,30,12,18,30,0,0,1228,60,1318,1288,30,4,4,3,70,1.7712451943566485,0.14260223696131116
18,18,30,059,HOLMES,Holmes,FL,774,12,13,58,89,93,128,148,148,63,21,1,0 to 119,54,437,322,15,764,10,0,3,738,5,38,4,31,743,0,0,764,16,14,0,1,15,15,0,30,1,0,2,5,10,7,2,3,1,0,0,1 to 79,42,23,3,1,3,0,26,4,4,0,1,0,0,0,31,15,16,30,1,0,993,9,1034,1002,31,0,53,48,44,1.7364459249798063,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,7083,132,153,479,680,791,893,1319,1329,929,356,22,0 to 100,58,3488,3115,480,6990,93,0,237,6269,82,821,70,1056,6019,1,7,6983,1031,12,13,0,486,552,5,1043,41,58,153,178,197,169,130,57,47,24,2,0 to 98,39,383,42,369,249,566,250,227,180,2,112,1,1,17,1056,561,490,1043,13,0,10770,79,11913,10849,1056,17,77,66,55,2.9786699421185125,0.15345842849064345
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,52574,1216,1427,4262,7764,7585,8184,9088,7288,3913,1741,106,0 to 119,50,30167,22171,236,52167,407,0,679,50315,458,2125,308,3295,49200,24,55,52089,3108,125,59,3,1732,1500,1,3233,59,110,407,637,507,482,437,304,205,143,4,0 to 104,43,1314,740,625,554,898,1598,737,722,11,519,8,3,99,3295,1528,1766,3233,62,0,75266,344,78985,75610,3295,99,1259,911,45,3.452361349671768,0.2518380530212434
