OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,GlobalID,MedianAge
60,60,26,051,HENDRY,Hendry,FL,3725,135,215,538,668,606,535,470,270,164,116,8,0 to 104,39,1832,1881,12,3722,3,0,411,1762,32,1658,27,1762,1963,0,0,3722,1711,50,1,0,790,967,4,1761,57,113,284,355,318,264,184,104,52,30,1,0 to 101,37,1413,195,63,90,1208,477,76,281,0,152,0,0,38,1762,968,790,1761,1,0,6554,2,8335,6556,1762,38,2347,1920,3080878042.06929,290231.154940413,71664f0e-3199-410f-ad8c-5269ffa55669,37
61,61,31,061,INDIAN RIVER,Indian River,FL,8251,123,241,769,897,892,1063,1253,1306,957,734,16,0 to 119,56,4897,3294,60,8179,72,0,378,6008,77,2296,98,2523,5672,1,55,8125,2490,18,13,2,1350,1120,38,2508,45,134,390,393,349,357,293,214,191,155,2,0 to 101,43,1058,270,287,893,455,938,1115,319,7,189,3,0,56,2523,1129,1356,2508,15,0,24502,56,27095,24558,2523,56,2274,1790,1319798862.49319,234087.653130679,193731ca-a50a-4707-8eb3-d6585d669c9c,43
62,62,6,011,BROWARD,Broward,FL,154612,3710,5996,15376,24826,24573,25985,25385,16086,8254,4193,228,0 to 119,46,83174,70040,1398,152844,1768,0,8861,113717,2336,40918,1323,62268,92151,27,166,152654,57863,3882,490,33,32124,29417,204,61745,1325,3269,9076,12051,10810,10158,8292,4138,2046,1070,33,0 to 119,39,22795,16047,6464,16439,21222,24533,15990,7227,87,3848,67,26,803,62268,29761,32301,61745,523,0,369791,1312,434122,371103,62268,803,25834,25465,3142374056.01305,291881.846057183,4ac0d3a0-87b8-4126-9cf4-96dc2d84d1c4,39
63,63,17,033,ESCAMBIA,Escambia,FL,25778,553,775,2925,3957,3315,3461,4267,3409,1934,1076,106,0 to 119,49,14701,10919,158,22332,3446,0,1332,21479,183,3548,230,9508,16258,1,11,22320,8525,90,893,0,4390,4108,117,8615,119,348,1689,1867,1466,1241,1200,792,497,278,11,0 to 105,38,3196,2122,656,2641,294,5308,3013,904,10,537,9,8,120,9508,4488,4903,8615,893,0,59568,2631,71750,62199,9508,120,1192,1112,1767890300.40206,439974.169549806,3780c858-9510-4a33-a345-0acd39c89bb6,38
64,64,47,093,OKEECHOBEE,Okeechobee,FL,2583,62,142,400,356,340,322,369,230,201,148,13,0 to 119,44,1422,1140,21,2571,12,0,288,1502,2,905,17,1039,1542,0,2,2569,973,62,4,0,511,520,4,1035,32,92,201,167,175,129,135,45,44,17,2,0 to 94,36,687,105,139,104,496,419,120,141,1,96,3,0,12,1039,521,514,1035,4,0,5517,8,6578,5525,1039,12,1019,938,2307690905.70045,272539.677334045,dd469486-5ba8-475c-9ddc-a21cc360caec,36
65,65,19,037,FRANKLIN,Franklin,FL,972,5,17,77,161,142,133,183,153,83,18,0,0 to 95,50,396,574,2,967,5,0,26,658,0,292,18,418,552,0,2,965,408,8,2,0,73,343,0,416,0,6,37,120,96,62,63,23,9,2,0,6 to 85,38,176,127,4,109,27,257,132,11,0,5,0,0,2,418,343,75,416,2,0,3461,3,3892,3464,418,2,165,164,1445840682.56789,446544.245992026,9f12dff3-9143-493b-867b-127f2b6bff20,39
66,66,1,001,ALACHUA,Alachua,FL,18788,274,375,2617,3612,2671,2602,2882,2084,991,613,67,0 to 119,44,10777,7874,137,18486,302,0,1046,16636,61,2097,123,4142,14636,6,4,18476,3933,155,42,12,2254,1827,7,4088,65,172,1122,941,513,484,419,266,107,51,2,0 to 103,31,1358,1220,515,995,516,2422,1150,334,11,173,11,1,26,4142,1857,2277,4088,54,0,66987,257,71409,67244,4142,26,240,218,2510756491.26947,272135.471452184,9eddb8fb-00dd-45f1-a09d-8e689049e28a,31
67,67,55,109,ST. JOHNS,St. Johns,FL,13858,188,436,1598,1565,2027,2301,2328,1909,1012,476,18,0 to 119,49,7490,6180,188,13797,61,0,857,10613,208,2726,298,3635,10168,10,45,13743,3277,316,38,4,1820,1737,36,3593,36,119,817,510,536,578,529,275,152,82,1,0 to 101,41,2374,286,214,719,266,2473,854,300,5,192,5,0,34,3635,1756,1842,3593,42,0,37165,18,40850,37183,3635,34,2871,2831,1658206648.51031,344848.248220385,8c0a9f2c-c490-4bbc-9e26-85b6f4aefeb1,41
69,68,999,999,Unknown,Unknown,FL,2073,12,24,205,300,305,308,264,169,221,255,10,0 to 119,50,1285,758,30,500,1573,0,5,1801,0,30,19,695,1374,1,3,497,217,3,470,5,103,106,11,220,11,19,125,148,126,117,87,32,17,6,7,0 to 94,37,50,31,30,109,78,32,110,0,4,0,2,1,0,695,331,341,220,475,0,4254,1094,6076,5348,695,0,5715,5713,NA,NA,d1373507-e2bb-431d-a2f9-63f6067c627a,36
70,69,998,998,A State,State,FL,1385329,24068,40689,141744,213049,201788,216769,221078,168102,97236,47802,13004,-6 to 225,48,748579,623943,12807,1367300,18021,8,82727,1100846,0,270743,10599,532806,848794,376,3353,1363615,508846,18190,5559,211,269296,253805,3935,527036,8936,20925,80560,102700,87958,85249,69044,39969,22850,13217,1398,-1 to 119,40,207475,79562,60460,179539,140521,183156,203359,52001,596,30505,388,129,8186,532806,256690,272014,527028,5770,8,3440161,12696,3991826,3452857,532806,8186,157645,144701,NA,NA,e2d719ef-85bc-44e7-84ed-af74ad1ec87d,40
