OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
56,56,8,015,CHARLOTTE,Charlotte,FL,5716,65,53,279,482,552,791,1095,1084,753,556,6,0 to 119,60,3352,2296,68,5697,19,0,209,5047,62,692,26,775,4936,1,4,5692,612,160,2,1,443,325,4,772,9,9,54,81,64,96,139,113,98,112,0,0 to 101,61,603,61,16,92,54,600,118,122,1,145,1,0,76,775,327,444,772,3,0,11582,16,12377,11598,775,76,110,91,63,61,3.8321805931522803,0.16585624394389412
57,57,58,115,SARASOTA,Sarasota,FL,13932,166,193,813,1335,1325,1747,2517,2826,2007,962,41,0 to 119,60,7809,5960,163,13682,250,0,544,12743,190,1388,102,1482,12440,1,9,13675,1386,65,25,6,759,689,3,1451,18,28,193,257,198,192,179,162,144,111,0,0 to 104,47,964,84,118,285,195,889,367,245,15,203,11,2,97,1482,708,771,1451,31,0,33986,216,35689,34202,1482,97,649,543,56,47,2.5144239533088304,0.13745510082611065
58,58,14,027,DESOTO,Desoto,FL,2671,70,129,244,372,368,467,501,287,157,70,6,0 to 102,48,1113,1425,133,2661,10,0,66,1958,48,605,12,604,2055,0,12,2649,481,123,0,0,292,311,1,604,25,66,93,121,89,86,71,36,9,8,0,0 to 92,34,457,61,24,62,386,146,72,98,0,59,0,0,10,604,311,292,604,0,0,3954,10,4573,3964,604,10,831,698,35,34,1.6241290510468296,0.15072312416893652
59,59,18,035,FLAGLER,Flagler,FL,4013,44,40,212,395,467,572,790,786,489,212,6,0 to 119,58,2352,1609,52,3975,38,0,126,3706,37,268,44,310,3702,0,1,3974,264,38,8,0,182,120,0,302,1,5,35,46,35,50,62,50,22,4,0,1 to 94,52,186,47,56,13,43,241,18,47,3,29,2,1,5,310,124,186,302,8,0,7857,30,8202,7887,310,5,307,272,56,52,2.0945907771160415,0.1204163459784971
60,60,26,051,HENDRY,Hendry,FL,2745,94,119,359,507,451,391,356,211,143,107,7,0 to 104,41,1354,1381,10,2743,2,0,209,1732,32,931,4,953,1792,0,0,2743,908,45,0,0,396,556,1,953,29,41,142,217,194,141,90,47,32,20,0,0 to 101,37,769,95,30,59,696,215,42,162,0,88,0,0,25,953,556,396,953,0,0,4184,2,5141,4186,953,25,1362,934,37,37,2.7519579981889994,0.27906345332229426
61,61,31,061,INDIAN RIVER,Indian River,FL,6000,71,97,452,571,573,725,952,1111,818,616,14,0 to 119,60,3651,2324,25,5928,72,0,200,5070,77,812,67,697,5279,0,24,5906,671,14,10,2,353,328,4,685,10,37,130,114,102,93,56,63,55,36,1,0 to 99,39,293,42,61,289,129,235,321,106,6,54,3,0,16,697,336,357,685,12,0,13399,58,14155,13457,697,16,1205,716,44,39,2.2377240468982293,0.12074147873533697
62,62,6,011,BROWARD,Broward,FL,103672,1640,2177,7663,15543,15958,17982,19058,13011,6894,3546,200,0 to 119,50,56134,46032,1506,102089,1583,0,3076,89201,2336,15217,1068,15624,88008,13,27,102052,13899,1409,290,26,7715,7587,6,15308,199,468,2066,3071,2645,2583,2262,1229,711,383,7,0 to 102,42,7103,4817,1284,2104,5504,8002,1802,3540,72,2016,59,22,383,15624,7795,7823,15308,316,0,179939,1264,196912,181203,15624,383,9226,8857,45,42,2.791976328336403,0.2836631565167555
63,63,17,033,ESCAMBIA,Escambia,FL,18763,459,488,1691,2524,2179,2505,3396,2870,1663,950,38,0 to 119,53,11306,7414,43,15850,2913,0,278,17704,183,1129,83,1952,16807,2,2,15846,1548,64,340,0,906,704,2,1612,25,59,391,357,234,216,224,177,171,97,1,0 to 105,39,798,460,48,306,63,1115,434,167,1,92,1,3,45,1952,832,1118,1612,340,0,28933,2573,33469,31506,1952,45,914,834,48,39,4.369183086156838,0.1664098676562923
64,64,47,093,OKEECHOBEE,Okeechobee,FL,1865,35,73,272,239,211,231,280,194,180,139,11,0 to 119,49,1088,757,20,1855,10,0,100,1443,2,336,15,377,1488,0,0,1855,340,35,2,0,194,181,0,375,13,34,81,63,63,46,49,17,8,3,0,0 to 93,34,254,31,37,53,196,122,57,30,0,30,2,0,0,377,182,195,375,2,0,3232,8,3617,3240,377,0,501,419,33,34,2.5876112567454856,0.2105452122322697
65,65,19,037,FRANKLIN,Franklin,FL,477,2,5,25,36,36,50,108,128,71,16,0,0 to 95,63,266,208,3,473,4,0,9,460,0,9,7,6,470,0,1,472,2,3,1,0,4,1,0,5,0,0,0,2,0,0,1,2,1,0,0,34 to 75,65,5,0,0,0,0,5,0,0,0,0,0,0,0,6,1,5,5,1,0,844,3,853,847,6,0,19,18,42,65,4.4393517054799485,0.13501380862042475
66,66,1,001,ALACHUA,Alachua,FL,16039,216,218,1951,2978,2308,2275,2599,1927,923,578,66,0 to 119,46,9207,6683,149,15763,276,0,274,15401,61,704,70,1197,14835,6,1,15756,1106,65,15,11,575,595,1,1171,8,17,431,269,125,123,92,84,30,17,1,0 to 103,29,412,227,210,322,216,615,340,166,6,93,5,0,12,1197,609,587,1171,26,0,39858,250,41315,40108,1197,12,144,122,32,29,2.6253323923130383,0.23399691333318842
67,67,55,109,ST. JOHNS,St. Johns,FL,10573,144,255,917,1144,1529,1738,1862,1681,887,399,17,0 to 119,52,5830,4613,130,10537,36,0,341,9559,208,727,151,948,9563,12,50,10476,860,71,14,3,463,467,1,931,9,16,230,155,122,152,133,86,36,9,0,0 to 97,40,514,49,36,332,43,532,356,99,4,64,4,0,7,948,475,472,931,17,0,19767,18,20755,19785,948,7,904,864,48,40,3.2463364568121142,0.15487996912821236
68,999,999,999,Unknown,Unknown,FL,1403,0,4,67,157,183,195,183,139,212,261,2,6 to 119,59,951,442,10,139,1264,0,3,1390,0,10,13,145,1256,1,1,137,16,0,126,3,6,8,2,16,0,3,12,36,27,31,17,8,5,6,0,12 to 82,46,2,2,0,12,2,1,13,0,2,0,1,0,0,145,76,66,16,129,0,1051,1135,2344,2186,145,0,32,30,41,46,0.7369088143033444,0.04263711096938869
