OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,MedianAge,SHAPE_Length,SHAPE_Area
49,49,44,087,MONROE,Monroe,FL,5759,107,155,488,851,853,986,1092,761,353,111,2,0 to 101,49,2950,2770,39,5663,96,0,1576,2545,83,1895,153,1556,4138,0,65,5600,1501,28,22,5,722,798,9,1529,34,57,189,304,280,283,204,129,61,15,0,0 to 100,42,993,97,67,372,537,586,406,234,5,98,4,0,13,1556,814,733,1529,27,0,12326,67,13962,12393,1556,13,2761,2484,{629DEEAE-BCFA-4AD2-8DE1-1D764EDD7AC6},42,13.262804083678807,0.23593160854831502
50,50,57,113,SANTA ROSA,Santa Rosa,FL,11144,308,458,1320,1644,1653,1746,1720,1305,688,291,11,0 to 119,46,5677,5430,37,11052,92,0,613,7249,99,3206,199,4053,7070,0,21,11031,3931,89,33,0,1701,2311,8,4020,58,129,737,738,667,660,555,276,154,78,1,0 to 105,39,2391,512,216,901,158,2841,1021,154,0,198,1,0,41,4053,2322,1723,4020,33,0,25051,59,29200,25110,4053,41,3584,3039,{EDF59BBC-47AF-4B2F-BD97-6DAB59DD7B4C},39,3.5520292477349953,0.24455885949485284
51,51,66,131,WALTON,Walton,FL,3122,71,108,435,416,456,462,498,333,196,142,5,0 to 101,46,1616,1466,40,2951,171,0,199,2358,15,1407,158,1443,1678,0,1,2950,1296,27,117,3,629,691,3,1323,19,62,323,229,241,205,202,88,55,17,2,0 to 101,39,1024,82,58,159,266,911,146,184,17,69,3,0,18,1443,748,692,1323,120,0,8429,54,9963,8483,1443,18,788,733,{31CA379B-FB64-4C77-9456-056BCF505A65},39,3.6013887783029053,0.25487062208733263
52,52,32,063,JACKSON,Jackson,FL,4842,57,117,442,882,859,836,712,438,298,195,6,0 to 105,45,1962,2809,71,4812,30,0,47,2887,19,1824,46,1953,2883,1,5,4806,1883,55,14,1,570,1357,11,1938,17,53,183,417,395,353,265,132,77,61,0,0 to 100,42,817,377,92,652,74,798,1066,151,2,103,0,0,43,1953,1365,576,1938,15,0,10060,18,12044,10078,1953,43,1185,986,{BAF89079-8026-4E6B-B424-2DD9BC8AF99D},42,2.2164651060825427,0.2310932808082651
53,53,67,133,WASHINGTON,Washington,FL,1854,39,56,166,299,293,306,324,182,130,59,0,0 to 119,47,902,909,43,1841,13,0,47,1236,9,941,15,887,952,0,15,1826,788,89,9,1,302,554,21,877,12,24,90,193,167,153,126,64,46,12,0,0 to 99,42,468,210,23,176,21,494,362,51,2,42,1,0,14,887,558,308,877,10,0,5416,4,6328,5420,887,14,571,515,{ED919630-6DB9-4E1B-B6B4-EAFA4D161468},42,2.379530617907179,0.14998158443964985
54,54,45,089,NASSAU,Nassau,FL,4686,70,114,508,524,575,673,854,728,443,192,5,0 to 103,53,2588,2009,89,4510,176,0,245,3429,28,822,139,1270,3382,0,34,4477,1161,31,76,2,604,587,1,1192,18,37,257,172,191,199,197,120,55,24,0,0 to 95,43,796,123,61,212,63,881,248,165,6,75,1,0,11,1270,620,649,1192,78,0,13872,97,15257,13969,1270,11,1297,1291,{4D22D524-13F7-4497-919B-BC6894006209},43,3.7594213077324343,0.1544196859093086
55,55,22,043,GLADES,Glades,FL,590,9,25,62,123,143,86,68,37,30,6,1,0 to 90,39,218,371,1,590,0,0,59,343,3,396,1,408,182,0,0,590,406,2,0,0,115,293,0,408,6,11,43,99,117,67,48,10,5,2,0,0 to 89,38,293,77,22,16,170,214,24,45,0,30,0,0,3,408,293,115,408,0,0,727,0,1136,727,408,3,236,177,{DB14356A-7E77-445A-A524-193DAC2519E8},38,2.276843366242558,0.23195700955234813
56,56,8,015,CHARLOTTE,Charlotte,FL,7263,82,93,466,671,738,1035,1373,1315,882,601,7,0 to 119,58,4136,3057,70,7240,23,0,716,5466,62,1767,44,2297,4954,1,11,7228,2064,226,6,1,1183,1087,20,2290,23,49,247,263,246,334,414,329,226,165,1,0 to 101,54,1717,132,139,302,180,1717,393,229,1,242,1,0,96,2297,1089,1187,2290,7,0,24344,16,26689,24360,2297,96,292,273,{2C59A1CC-D054-4DF6-BEF0-43EEC4A23784},54,3.8321805931522803,0.16585624394389412
57,57,58,115,SARASOTA,Sarasota,FL,19011,221,411,1629,2181,2069,2498,3197,3307,2297,1137,64,0 to 119,56,10462,8276,273,18739,272,0,840,16778,190,2764,118,6394,12598,1,18,18722,6258,83,46,7,3292,2892,157,6341,71,225,1007,1094,928,911,812,606,426,291,23,0 to 104,43,2511,373,531,2926,594,2204,3543,411,18,377,12,2,166,6394,2922,3315,6341,53,0,68533,224,75202,68757,6394,166,1082,977,{63CF7F11-0E2E-4C45-8079-812F07405F88},43,2.5144239533088304,0.13745510082611065
58,58,14,027,DESOTO,Desoto,FL,3610,98,223,379,544,560,607,598,342,180,75,4,0 to 102,44,1487,2006,117,3597,13,0,181,2276,48,1360,24,1382,2222,1,5,3591,1246,133,3,0,568,808,3,1379,42,121,190,268,261,211,163,83,31,12,0,0 to 97,37,856,139,83,301,664,378,337,204,1,104,1,0,18,1382,809,570,1379,3,0,8273,13,9675,8286,1382,18,1379,1245,{0D73423D-03C5-4BA5-9BFD-C106F87EB222},36,1.6241290510468296,0.15072312416893652
59,59,18,035,FLAGLER,Flagler,FL,5021,77,104,366,524,606,723,929,902,547,236,7,0 to 119,56,2909,2060,52,4980,41,0,374,3826,37,921,64,1101,3914,0,6,4974,962,128,11,0,599,485,6,1090,18,49,152,154,141,178,172,141,73,22,1,0 to 94,47,622,174,206,88,167,809,114,152,4,90,2,1,13,1101,491,604,1090,11,0,14198,30,15348,14228,1101,13,1270,1235,{0E4D3C2D-FB56-4A06-8B04-3AD9BFF072BC},47,2.0945907771160415,0.1204163459784971
60,60,26,051,HENDRY,Hendry,FL,3784,136,222,553,678,617,543,474,273,164,117,7,0 to 104,39,1862,1910,12,3781,3,0,428,1770,32,1701,28,1814,1970,0,0,3781,1762,51,1,0,817,992,4,1813,58,118,296,365,329,270,189,106,52,31,0,0 to 101,37,1442,205,70,96,1234,497,82,287,0,154,0,0,38,1814,993,817,1813,1,0,6673,2,8507,6675,1814,38,2398,1971,{71664F0E-3199-410F-AD8C-5269FFA55669},37,2.7519579981889994,0.27906345332229426
61,61,31,061,INDIAN RIVER,Indian River,FL,8305,124,242,774,903,903,1077,1265,1309,959,734,15,0 to 119,56,4930,3324,51,8233,72,0,411,5955,77,2439,102,2574,5677,1,53,8181,2541,18,13,2,1379,1151,29,2559,45,136,396,399,357,371,303,218,193,155,1,0 to 101,43,1105,289,302,863,496,1003,1060,344,7,200,3,0,57,2574,1160,1385,2559,15,0,24889,56,27532,24945,2574,57,2273,1789,{193731CA-A50A-4707-8EB3-D6585D669C9C},43,2.2377240468982293,0.12074147873533697
62,62,6,011,BROWARD,Broward,FL,156840,3793,6204,15696,25190,24954,26334,25678,16222,8309,4229,231,0 to 119,46,84348,71119,1373,155093,1747,0,9659,112694,2336,45408,1376,64080,92559,28,173,154895,59320,4239,488,33,33065,30299,195,63559,1367,3403,9318,12375,11118,10455,8537,4254,2108,1109,36,0 to 119,39,24183,16616,6914,15846,22354,25821,15384,7600,88,4080,67,26,859,64080,30640,33243,63559,521,0,379538,1309,445709,380847,64080,859,27104,26735,{4AC0D3A0-87B8-4126-9CF4-96DC2D84D1C4},39,2.791976328336403,0.2836631565167555
63,63,17,033,ESCAMBIA,Escambia,FL,26171,552,786,2975,4044,3389,3513,4307,3451,1957,1090,107,0 to 119,49,14823,11190,158,22728,3443,0,1434,21318,183,3879,240,9929,16233,1,8,22719,8944,90,895,0,4529,4387,118,9034,121,358,1740,1956,1541,1300,1250,837,521,293,12,0 to 105,38,3348,2165,727,2794,317,5540,3177,967,10,577,8,10,137,9929,4769,5042,9034,895,0,61024,2632,73639,63656,9929,137,1204,1124,{3780C858-9510-4A33-A345-0ACD39C89BB6},38,4.369183086156838,0.1664098676562923
64,64,47,093,OKEECHOBEE,Okeechobee,FL,2629,62,145,407,367,344,327,380,232,205,148,12,0 to 119,44,1440,1169,20,2617,12,0,304,1479,2,973,17,1081,1546,0,2,2615,1014,63,4,0,529,545,3,1077,32,95,206,175,177,135,145,48,49,18,1,0 to 94,36,731,113,140,93,520,448,109,152,1,105,3,0,12,1081,546,532,1077,4,0,5607,8,6710,5615,1081,12,1060,979,{DD469486-5BA8-475C-9DDC-A21CC360CAEC},36,2.5876112567454856,0.2105452122322697
65,65,19,037,FRANKLIN,Franklin,FL,994,6,18,80,166,145,137,187,154,83,18,0,0 to 95,50,400,592,2,989,5,0,26,534,0,432,18,433,559,0,2,987,423,8,2,0,75,356,0,431,0,6,39,125,98,65,65,24,9,2,0,6 to 85,38,233,190,4,4,40,337,54,13,0,5,0,0,2,433,356,77,431,2,0,3487,3,3929,3490,433,2,165,164,{9F12DFF3-9143-493B-867B-127F2B6BFF20},38,4.4393517054799485,0.13501380862042475
66,66,1,001,ALACHUA,Alachua,FL,18944,278,386,2657,3643,2694,2621,2895,2092,996,614,68,0 to 119,44,10852,7950,142,18638,306,0,1126,16614,61,2255,133,4309,14625,6,4,18628,4088,163,46,12,2332,1907,12,4251,69,183,1161,978,537,503,435,274,112,54,3,0 to 103,31,1422,1292,523,1014,525,2546,1180,359,11,189,12,1,26,4309,1940,2356,4251,58,0,68153,258,72746,68411,4309,26,241,219,{9EDDB8FB-00DD-45F1-A09D-8E689049E28A},31,2.6253323923130383,0.23399691333318842
67,67,55,109,ST. JOHNS,St. Johns,FL,14041,188,449,1624,1586,2051,2331,2361,1929,1023,481,18,0 to 119,49,7585,6268,188,13980,61,0,902,10637,208,2842,311,3774,10211,10,46,13925,3416,316,38,4,1893,1803,36,3732,36,124,835,525,556,603,556,291,161,86,1,0 to 101,41,2468,291,229,744,280,2576,876,314,5,201,5,0,39,3774,1821,1916,3732,42,0,37971,18,41795,37989,3774,39,3018,2978,{8C0A9F2C-C490-4BBC-9E26-85B6F4AEFEB1},41,3.2463364568121142,0.15487996912821236
69,68,999,999,Unknown,Unknown,FL,2050,13,26,195,297,290,296,268,176,224,255,10,0 to 119,51,1267,753,30,455,1595,0,5,1829,0,30,19,703,1345,0,2,454,204,2,492,5,98,96,12,206,12,20,121,149,122,111,93,39,23,6,7,0 to 94,36,51,30,27,98,67,33,106,0,5,0,3,1,0,703,332,347,206,497,0,4330,1094,6158,5424,703,0,6469,6467,{D1373507-E2BB-431D-A2F9-63F6067C627A},37,0,0
70,69,998,998,A State,State,FL,1405279,24486,41758,144594,216363,205087,220097,223867,169618,98046,48271,13092,0 to 225,48,758343,633941,12995,1387179,18092,8,87369,1104807,0,286048,10903,550901,850470,379,3529,1383316,526051,18989,5649,212,278050,262907,4083,545040,9202,21739,83089,105799,90970,88317,71590,41352,23637,13715,1491,0 to 119,40,216890,82594,63685,181871,146983,191856,206201,54229,610,31947,402,133,8765,550901,265845,280814,545032,5861,8,3523978,12700,4093972,3536678,550901,8765,164343,151398,{E2D719EF-85BC-44E7-84ED-AF74AD1EC87D},40,0,0
