FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
58,58,14,027,DESOTO,Desoto,FL,2270,48,69,175,302,304,409,464,273,153,69,4,0 to 102,51,899,1224,147,2260,10,0,15,1960,48,308,7,284,1977,0,9,2251,166,118,0,0,125,158,1,284,11,24,39,55,44,36,39,23,6,7,0,0 to 92,38,218,21,4,41,176,58,50,48,0,37,0,0,7,284,158,125,284,0,0,2703,10,2998,2713,284,7,290,192,62,1.6241290510468296,0.15072312416893652
59,59,18,035,FLAGLER,Flagler,FL,3847,42,38,185,365,448,543,766,762,481,211,6,0 to 119,59,2253,1542,52,3812,35,0,70,3680,37,180,37,195,3647,5,0,3807,165,25,5,0,112,78,0,190,0,4,13,23,23,31,48,35,15,3,0,5 to 94,55,115,29,39,7,23,158,9,32,3,22,2,1,4,195,80,115,190,5,0,5863,30,6093,5893,195,4,72,37,56,2.0945907771160415,0.1204163459784971
60,60,26,051,HENDRY,Hendry,FL,2244,66,73,265,414,346,325,316,193,134,105,7,0 to 119,43,1114,1120,10,2242,2,0,113,1735,32,557,2,565,1676,0,3,2239,526,39,0,0,210,355,0,565,12,15,72,137,112,84,59,32,25,17,0,0 to 101,39,449,55,17,44,416,123,26,92,0,55,0,0,18,565,355,210,565,0,0,2767,2,3334,2769,565,18,684,289,48,2.7519579981889994,0.27906345332229426
61,61,31,061,INDIAN RIVER,Indian River,FL,5237,48,54,292,454,460,628,878,1067,773,570,13,0 to 119,62,3203,2011,23,5166,71,0,164,4775,77,379,59,167,5036,0,34,5134,142,14,9,2,82,74,0,156,1,5,14,22,19,22,20,29,23,12,0,0 to 96,55,107,13,19,17,25,103,28,62,6,33,3,0,11,167,81,86,156,11,0,7423,58,7648,7481,167,11,672,215,64,2.2377240468982293,0.12074147873533697
62,62,6,011,BROWARD,Broward,FL,93410,1084,1384,6011,13416,14196,16526,17954,12497,6680,3469,193,0 to 119,51,50869,40928,1613,91970,1440,0,1856,86374,2336,8131,986,7924,85414,48,24,91901,6520,1229,151,24,3944,3803,2,7749,47,119,676,1257,1254,1448,1429,847,531,316,0,0 to 102,49,3900,2846,713,290,2632,4858,259,2496,66,1575,54,21,343,7924,3916,4006,7749,175,0,117300,1262,126550,118562,7924,343,1618,1253,50,2.791976328336403,0.2836631565167555
63,63,17,033,ESCAMBIA,Escambia,FL,17670,437,446,1382,2278,2059,2395,3305,2795,1608,929,36,0 to 119,54,10698,6932,40,14910,2760,0,146,17098,183,656,65,891,16772,6,1,14903,641,63,187,0,411,293,0,704,9,24,91,118,118,111,140,107,108,65,0,0 to 105,53,322,270,17,95,14,531,159,86,0,65,0,0,36,891,364,527,704,187,0,19544,2573,23014,22117,891,36,204,124,54,4.369183086156838,0.1664098676562923
64,64,47,093,OKEECHOBEE,Okeechobee,FL,1576,23,45,215,186,167,197,243,178,175,136,11,0 to 119,52,934,621,21,1569,7,0,57,1410,2,147,9,138,1438,0,0,1569,112,25,1,0,67,70,0,137,2,15,33,21,22,18,19,4,3,1,0,0 to 87,34,97,18,4,18,65,53,19,10,0,12,1,0,0,138,71,67,137,1,0,1991,6,2135,1997,138,0,161,109,56,2.5876112567454856,0.2105452122322697
65,65,19,037,FRANKLIN,Franklin,FL,460,2,4,24,34,34,48,105,123,71,15,0,0 to 95,63,257,200,3,456,4,0,8,452,0,5,3,2,458,0,0,456,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,25 to 60,42,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,1,0,669,3,674,672,2,0,3,2,42,4.4393517054799485,0.13501380862042475
66,66,1,001,ALACHUA,Alachua,FL,15236,210,205,1576,2786,2228,2214,2563,1901,913,574,66,0 to 119,47,8842,6243,151,14966,270,0,200,14827,61,426,57,399,14830,7,0,14959,326,53,9,11,222,157,0,379,3,5,62,72,46,61,57,57,22,13,1,0 to 103,46,154,136,36,53,46,281,52,121,5,79,4,0,8,399,167,232,379,20,0,25171,250,25827,25421,399,8,79,58,49,2.6253323923130383,0.23399691333318842
67,67,55,109,ST. JOHNS,St. Johns,FL,9674,129,226,678,970,1417,1598,1762,1626,864,388,16,0 to 119,53,5395,4161,118,9645,29,0,227,9137,208,390,124,282,9366,20,6,9620,219,53,7,3,139,133,0,272,2,6,24,27,35,58,63,44,18,5,0,2 to 97,52,217,18,17,20,17,225,30,64,3,43,3,0,6,282,139,143,272,10,0,12934,18,13255,12952,282,6,204,166,53,3.2463364568121142,0.15487996912821236
68,999,999,999,Unknown,Unknown,FL,1381,0,2,65,149,176,188,177,139,216,267,2,6 to 119,60,945,429,7,130,1251,0,1,1379,0,3,9,93,1286,1,1,129,6,1,85,1,3,4,0,7,0,1,7,26,19,21,9,2,6,2,0,6 to 88,41,1,0,1,5,0,0,7,0,1,0,0,0,0,93,55,37,7,86,0,355,1164,1627,1519,93,0,14,12,36,0.7369088143033444,0.04263711096938869
