OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
57,57,58,115,SARASOTA,Sarasota,FL,13791,164,188,788,1315,1306,1718,2501,2812,2002,956,41,0 to 119,60,7733,5894,164,13540,251,0,533,12651,190,1324,100,1341,12441,1,8,13534,1248,61,26,6,687,621,1,1309,16,22,166,238,177,165,165,146,140,106,0,0 to 104,47,895,72,110,232,175,841,293,232,15,195,11,2,96,1341,641,699,1309,32,0,33078,216,34640,33294,1341,96,617,511,56,47,2.5144239533088304,0.13745510082611065
58,58,14,027,DESOTO,Desoto,FL,2629,64,121,236,367,365,461,496,286,156,70,7,0 to 102,48,1092,1398,139,2619,10,0,57,1967,48,575,12,574,2042,0,13,2606,452,122,0,0,276,296,2,574,22,64,87,117,87,80,66,35,8,8,0,0 to 92,34,422,56,19,77,359,134,81,90,0,56,0,0,10,574,296,276,574,0,0,3805,10,4394,3815,574,10,724,591,35,34,1.6241290510468296,0.15072312416893652
59,59,18,035,FLAGLER,Flagler,FL,3974,44,38,203,388,464,564,785,783,487,212,6,0 to 119,58,2333,1589,52,3936,38,0,117,3694,37,254,42,279,3694,0,1,3935,238,33,8,0,167,104,0,271,1,4,27,40,32,44,60,47,20,4,0,1 to 94,53,171,43,50,7,39,220,12,43,3,29,2,1,5,279,108,171,271,8,0,7445,30,7757,7475,279,5,257,222,56,53,2.0945907771160415,0.1204163459784971
60,60,26,051,HENDRY,Hendry,FL,2671,89,115,345,491,432,385,350,210,139,108,7,0 to 119,41,1317,1345,9,2669,2,0,191,1741,32,869,4,895,1776,0,0,2669,852,43,0,0,365,530,0,895,26,38,130,205,181,135,84,47,29,20,0,0 to 101,37,723,86,28,58,656,199,40,151,0,83,0,0,25,895,530,365,895,0,0,4021,2,4919,4023,895,25,1184,756,37,37,2.7519579981889994,0.27906345332229426
61,61,31,061,INDIAN RIVER,Indian River,FL,5909,68,91,423,566,560,710,943,1107,814,612,15,0 to 119,60,3605,2278,26,5837,72,0,198,5029,77,754,65,620,5262,0,27,5812,594,14,10,2,319,286,3,608,8,30,108,108,91,83,49,58,51,32,2,0 to 99,39,269,39,55,245,115,219,274,105,6,53,3,0,16,620,294,323,608,12,0,12776,58,13456,12834,620,16,1163,675,44,39,2.2377240468982293,0.12074147873533697
62,62,6,011,BROWARD,Broward,FL,101740,1537,2009,7363,15125,15639,17725,18851,12902,6852,3529,208,0 to 119,50,55139,45066,1535,100184,1556,0,2810,88508,2336,14009,1052,14046,87655,13,26,100148,12444,1313,264,25,6925,6827,5,13757,175,412,1798,2668,2380,2359,2074,1130,669,366,15,0 to 102,43,6462,4390,1156,1749,4934,7277,1546,3331,71,1941,58,22,382,14046,7018,7023,13757,289,0,171778,1264,187167,173042,14046,382,8183,7813,45,43,2.791976328336403,0.2836631565167555
63,63,17,033,ESCAMBIA,Escambia,FL,18418,458,479,1600,2430,2138,2473,3363,2850,1646,945,36,0 to 119,53,11118,7260,40,15572,2846,0,262,17439,183,1058,83,1611,16804,2,1,15569,1274,64,273,0,764,574,0,1338,24,52,299,259,197,183,192,159,155,91,0,0 to 105,42,659,409,47,223,58,926,354,152,1,87,1,3,44,1611,680,931,1338,273,0,27194,2573,31388,29767,1611,44,820,740,48,42,4.369183086156838,0.1664098676562923
64,64,47,093,OKEECHOBEE,Okeechobee,FL,1802,34,65,258,224,205,223,272,192,179,139,11,0 to 119,49,1051,731,20,1792,10,0,90,1441,2,296,14,333,1469,0,0,1792,300,31,2,0,167,164,0,331,12,31,72,53,58,39,43,15,7,3,0,0 to 93,34,227,26,32,46,171,113,47,26,0,26,2,0,0,333,165,168,331,2,0,3029,8,3370,3037,333,0,409,327,33,34,2.5876112567454856,0.2105452122322697
65,65,19,037,FRANKLIN,Franklin,FL,471,2,4,25,35,35,49,106,128,71,16,0,0 to 95,63,263,205,3,467,4,0,9,456,0,9,7,6,464,0,1,466,4,1,1,0,4,1,0,5,0,0,0,2,0,0,1,2,1,0,0,34 to 75,65,5,0,0,0,0,5,0,0,0,0,0,0,0,6,1,5,5,1,0,807,3,816,810,6,0,11,10,42,65,4.4393517054799485,0.13501380862042475
66,66,1,001,ALACHUA,Alachua,FL,15883,215,215,1884,2943,2289,2262,2592,1920,922,575,66,0 to 119,46,9131,6602,150,15609,274,0,260,15282,61,674,69,1033,14843,6,1,15602,950,59,13,11,496,512,1,1009,8,14,367,228,103,109,82,78,29,14,1,0 to 103,29,359,202,191,257,205,538,266,163,6,93,5,0,12,1033,524,508,1009,24,0,38212,250,39504,38462,1033,12,134,112,32,29,2.6253323923130383,0.23399691333318842
67,67,55,109,ST. JOHNS,St. Johns,FL,10324,140,247,847,1101,1494,1698,1838,1663,882,397,17,0 to 119,52,5700,4492,132,10290,34,0,305,9450,208,634,146,756,9527,13,28,10250,677,64,12,3,364,375,2,741,8,12,165,121,92,127,115,76,32,8,0,0 to 97,43,428,41,29,243,38,437,266,92,4,59,4,0,7,756,382,372,741,15,0,18316,18,19112,18334,756,7,731,691,48,43,3.2463364568121142,0.15487996912821236
68,999,999,999,Unknown,Unknown,FL,1407,0,4,66,156,182,195,182,141,213,266,2,6 to 119,59,956,443,8,135,1272,0,3,1394,0,10,12,139,1266,1,1,133,11,0,126,2,5,6,0,11,0,3,11,34,26,30,16,7,5,7,0,12 to 82,49,1,1,0,9,1,0,10,0,2,0,0,0,0,139,72,66,11,128,0,853,1144,2149,1997,139,0,30,28,41,49,0.7369088143033444,0.04263711096938869
