OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,GlobalID,MedianAge
50,50,57,113,SANTA ROSA,Santa Rosa,FL,10918,306,441,1288,1613,1616,1723,1679,1280,671,288,13,0 to 119,46,5569,5305,44,10830,88,0,558,7271,99,3025,189,3857,7044,0,17,10813,3740,88,29,0,1607,2206,15,3828,56,117,707,706,633,642,518,259,142,74,3,0 to 105,39,2229,501,208,890,153,2669,1006,144,0,189,1,0,37,3857,2217,1625,3828,29,0,24371,59,28324,24430,3857,37,3423,2880,2596863920.94926,364280.718031263,edf59bbc-47af-4b2f-bd97-6dab59dd7b4c,39
51,51,66,131,WALTON,Walton,FL,3049,68,101,426,407,438,453,488,329,195,140,4,0 to 101,46,1588,1423,38,2882,167,0,195,2331,15,1346,153,1383,1664,0,2,2880,1240,27,113,3,609,657,1,1267,17,57,314,222,225,197,198,84,54,14,1,0 to 101,39,981,78,55,153,252,874,141,177,17,64,3,0,15,1383,712,670,1267,116,0,8138,54,9613,8192,1383,15,746,691,2708101782.46999,370154.781284707,31ca379b-fb64-4c77-9456-056bcf505a65,39
52,52,32,063,JACKSON,Jackson,FL,4711,57,110,433,840,822,820,699,436,294,194,6,0 to 105,46,1939,2701,71,4681,30,0,47,2892,19,1692,44,1817,2888,1,5,4675,1747,55,14,1,542,1250,10,1802,17,49,176,375,357,337,253,127,69,57,0,0 to 100,43,778,354,88,582,72,755,975,150,2,101,0,0,37,1817,1258,548,1802,15,0,9657,18,11505,9675,1817,37,1151,952,2452499072.79567,223828.324060307,baf89079-8026-4e6b-b424-2dd9bc8af99d,43
53,53,67,133,WASHINGTON,Washington,FL,1791,36,55,159,283,275,297,319,179,130,58,0,0 to 119,47,882,863,46,1778,13,0,47,1210,9,882,15,839,937,0,15,1763,743,86,9,1,288,517,24,829,10,25,85,181,153,146,120,62,46,11,0,0 to 99,42,432,192,23,182,17,463,349,49,2,42,1,0,14,839,521,294,829,10,0,5057,4,5918,5061,839,14,530,474,1594396648.51196,243766.072259733,ed919630-6db9-4e1b-b6b4-eafa4d161468,42
54,54,45,089,NASSAU,Nassau,FL,4620,68,108,496,513,569,666,845,721,438,192,4,0 to 103,53,2557,1975,88,4455,165,0,228,3418,28,797,132,1219,3369,0,32,4424,1121,31,65,2,589,563,0,1152,17,33,247,164,186,192,188,117,51,24,0,0 to 95,43,763,119,57,213,60,845,247,157,6,73,1,0,11,1219,591,628,1152,67,0,13520,97,14853,13617,1219,11,1244,1238,1641620662.32831,388721.737801268,4d22d524-13f7-4497-919b-bc6894006209,43
55,55,22,043,GLADES,Glades,FL,581,9,23,62,120,142,84,67,37,30,6,1,0 to 90,39,211,369,1,581,0,0,60,341,3,392,1,401,180,0,0,581,399,2,0,0,109,292,0,401,6,10,43,96,117,65,47,10,5,2,0,0 to 89,38,289,77,22,13,169,211,21,43,0,29,0,0,3,401,292,109,401,0,0,721,0,1124,721,401,3,225,166,2551976411.00452,236757.936928168,db14356a-7e77-445a-a524-193dac2519e8,38
56,56,8,015,CHARLOTTE,Charlotte,FL,7181,80,89,461,665,724,1023,1357,1300,878,597,7,0 to 119,58,4085,3022,74,7158,23,0,660,5505,62,1662,44,2214,4955,1,11,7146,1982,225,6,1,1132,1053,22,2207,22,44,241,255,235,323,398,315,219,161,1,0 to 101,54,1623,127,133,324,173,1625,409,225,1,235,1,0,91,2214,1055,1136,2207,7,0,23671,16,25934,23687,2214,91,273,254,1825525431.11919,398247.923422686,2c59a1cc-d054-4df6-bef0-43eec4a23784,54
57,57,58,115,SARASOTA,Sarasota,FL,18781,220,404,1592,2148,2036,2469,3168,3285,2278,1113,68,0 to 119,56,10357,8155,269,18509,272,0,821,16607,190,2683,117,6164,12593,1,23,18487,6028,83,46,7,3190,2772,149,6111,70,219,971,1061,893,882,784,586,405,266,27,0 to 104,43,2413,363,511,2824,566,2125,3420,396,18,365,12,2,138,6164,2802,3213,6111,53,0,66796,224,73230,67020,6164,138,1063,958,1509311882.53409,264158.506465067,63cf7f11-0e2e-4c45-8079-812f07405f88,43
58,58,14,027,DESOTO,Desoto,FL,3555,97,219,369,537,549,600,595,334,176,75,4,0 to 102,45,1465,1973,117,3542,13,0,176,2253,48,1318,23,1339,2210,1,5,3536,1203,133,3,0,551,782,3,1336,41,121,182,260,253,204,160,79,27,12,0,0 to 97,36,836,135,78,287,654,362,320,199,1,100,1,0,16,1339,783,553,1336,3,0,8126,13,9485,8139,1339,16,1366,1232,1654926851.96404,168390.780925558,0d73423d-03c5-4ba5-9bfd-c106f87eb222,36
59,59,18,035,FLAGLER,Flagler,FL,4951,75,101,354,520,591,715,916,893,543,236,7,0 to 119,56,2875,2022,54,4911,40,0,342,3859,37,843,63,1052,3894,0,5,4906,916,126,10,0,576,460,6,1042,16,47,149,151,129,170,163,134,70,22,1,0 to 94,47,585,166,184,107,147,762,133,148,4,87,2,1,13,1052,466,580,1042,10,0,13810,30,14911,13840,1052,13,1194,1159,1294754947.55994,220559.838719988,0e4d3c2d-fb56-4a06-8b04-3ad9bff072bc,47
60,60,26,051,HENDRY,Hendry,FL,3711,135,215,538,664,603,531,468,270,164,116,7,0 to 104,39,1823,1875,13,3709,2,0,410,1758,32,1649,26,1750,1961,0,0,3709,1700,50,0,0,782,964,4,1750,57,113,284,352,316,259,183,104,52,30,0,0 to 101,37,1402,193,62,93,1199,472,79,280,0,152,0,0,38,1750,964,782,1750,0,0,6525,2,8295,6527,1750,38,2332,1905,3080878042.06929,290231.154940413,71664f0e-3199-410f-ad8c-5269ffa55669,37
61,61,31,061,INDIAN RIVER,Indian River,FL,8211,121,239,765,894,883,1057,1246,1302,956,732,16,0 to 119,56,4880,3270,61,8139,72,0,374,6001,77,2248,97,2488,5670,1,52,8088,2455,18,13,2,1335,1099,39,2473,43,132,386,387,344,351,287,212,190,154,2,0 to 101,43,1038,260,282,893,439,919,1115,309,7,186,3,0,55,2488,1108,1341,2473,15,0,24221,56,26780,24277,2488,55,2275,1790,1319798862.49319,234087.653130679,193731ca-a50a-4707-8eb3-d6585d669c9c,43
62,62,6,011,BROWARD,Broward,FL,153837,3662,5914,15270,24691,24473,25863,25299,16039,8229,4170,227,0 to 119,46,82764,69661,1412,152069,1768,0,8671,113731,2336,39529,1308,61614,92028,29,166,151877,57444,3647,490,33,31780,29101,210,61091,1307,3210,8989,11934,10716,10049,8209,4097,2025,1046,32,0 to 119,39,22398,15855,6250,16588,20859,24140,16092,7101,87,3766,67,26,789,61614,29446,31956,61091,523,0,366385,1312,430054,367697,61614,789,25514,25145,3142374056.01305,291881.846057183,4ac0d3a0-87b8-4126-9cf4-96dc2d84d1c4,39
63,63,17,033,ESCAMBIA,Escambia,FL,25570,550,766,2900,3915,3264,3424,4244,3397,1929,1074,107,0 to 119,49,14633,10779,158,22127,3443,0,1295,21389,183,3460,219,9297,16262,1,10,22116,8317,90,890,0,4321,3969,117,8407,116,339,1664,1823,1416,1204,1177,778,492,276,12,0 to 105,38,3141,2085,634,2547,286,5216,2905,895,10,536,9,8,120,9297,4348,4832,8407,890,0,59051,2631,71022,61682,9297,120,1187,1107,1767890300.40206,439974.169549806,3780c858-9510-4a33-a345-0acd39c89bb6,38
64,64,47,093,OKEECHOBEE,Okeechobee,FL,2570,61,141,398,355,338,321,365,230,202,147,12,0 to 119,44,1412,1138,20,2558,12,0,287,1506,2,897,17,1027,1541,0,2,2556,961,62,4,0,503,517,3,1023,31,92,200,167,173,129,131,45,42,16,1,0 to 94,36,672,105,136,110,482,413,128,141,1,96,3,0,10,1027,518,506,1023,4,0,5478,8,6527,5486,1027,10,1021,940,2307690905.70045,272539.677334045,dd469486-5ba8-475c-9ddc-a21cc360caec,36
65,65,19,037,FRANKLIN,Franklin,FL,951,5,17,74,152,136,130,183,153,83,18,0,0 to 95,52,392,557,2,946,5,0,23,657,0,284,18,398,551,0,2,944,388,8,2,0,70,326,0,396,0,6,34,111,90,60,63,23,9,2,0,6 to 85,39,163,120,4,109,27,239,130,10,0,5,0,0,2,398,326,72,396,2,0,3345,3,3756,3348,398,2,149,148,1445840682.56789,446544.245992026,9f12dff3-9143-493b-867b-127f2b6bff20,39
66,66,1,001,ALACHUA,Alachua,FL,18739,274,365,2609,3599,2669,2597,2874,2081,991,612,68,0 to 119,44,10753,7848,138,18438,301,0,1011,16630,61,2052,123,4088,14641,6,4,18428,3880,155,41,12,2227,1800,8,4035,65,162,1115,928,507,478,410,263,107,50,3,0 to 103,31,1342,1194,512,987,513,2382,1140,333,11,171,11,1,26,4088,1830,2249,4035,53,0,66414,257,70782,66671,4088,26,240,218,2510756491.26947,272135.471452184,9eddb8fb-00dd-45f1-a09d-8e689049e28a,31
67,67,55,109,ST. JOHNS,St. Johns,FL,13810,188,434,1588,1559,2019,2294,2322,1903,1009,475,19,0 to 119,49,7463,6160,187,13752,58,0,855,10585,208,2697,297,3593,10163,10,44,13699,3238,316,35,4,1800,1720,34,3554,36,118,808,505,529,573,523,268,149,82,2,0 to 101,41,2350,279,213,712,262,2438,854,297,5,188,5,0,34,3593,1739,1819,3554,39,0,36846,18,40489,36864,3593,34,2848,2808,1658206648.51031,344848.248220385,8c0a9f2c-c490-4bbc-9e26-85b6f4aefeb1,41
69,68,999,999,Unknown,Unknown,FL,2052,12,23,199,302,299,302,262,167,221,255,10,0 to 119,50,1275,747,30,488,1564,0,5,1786,0,30,19,678,1370,1,3,485,210,3,460,5,99,103,11,213,11,19,122,149,119,113,85,31,16,6,7,0 to 94,36,51,30,26,106,77,31,105,0,4,0,2,1,0,678,322,333,213,465,0,4172,1095,5979,5267,678,0,6124,6122,NA,NA,d1373507-e2bb-431d-a2f9-63f6067c627a,36
70,69,998,998,A State,State,FL,1378718,23906,40273,140897,211972,200695,215719,220156,167567,96969,47663,12901,-6 to 225,48,745308,620601,12809,1360727,17983,8,81666,1097915,0,267100,10533,526577,848412,379,3350,1357042,502971,17875,5520,211,266280,250685,3881,520846,8824,20591,79759,101644,86921,84260,68168,39458,22588,13072,1292,0 to 119,40,204709,78577,59115,178445,138586,180516,201744,51524,596,30251,388,129,8109,526577,253555,268972,520838,5731,8,3406598,12697,3952028,3419295,526577,8109,156951,144004,NA,NA,e2d719ef-85bc-44e7-84ed-af74ad1ec87d,40
