OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,GlobalID,MedianAge,SHAPE_Length,SHAPE_Area
49,49,44,087,MONROE,Monroe,FL,5739,106,152,483,847,851,984,1090,761,352,111,2,0 to 101,49,2941,2759,39,5643,96,0,1567,2564,83,1836,153,1548,4122,0,69,5576,1493,28,22,5,717,795,9,1521,33,56,188,303,278,282,203,129,61,15,0,0 to 100,42,961,96,68,396,527,568,426,228,5,95,4,0,13,1548,811,728,1521,27,0,12252,67,13879,12319,1548,13,2727,2450,{629DEEAE-BCFA-4AD2-8DE1-1D764EDD7AC6},42,13.262804083678807,0.23593160854831502
50,50,57,113,SANTA ROSA,Santa Rosa,FL,11096,307,454,1312,1636,1643,1744,1709,1303,687,289,12,0 to 119,46,5654,5403,39,11004,92,0,608,7244,99,3176,199,4013,7062,0,21,10983,3892,88,33,0,1682,2288,10,3980,57,127,730,730,658,658,546,276,153,76,2,0 to 105,39,2328,508,212,932,154,2773,1053,150,0,193,1,0,40,4013,2299,1704,3980,33,0,24834,59,28943,24893,4013,40,3565,3020,{EDF59BBC-47AF-4B2F-BD97-6DAB59DD7B4C},39,3.5520292477349953,0.24455885949485284
51,51,66,131,WALTON,Walton,FL,3104,70,108,432,412,449,462,497,333,196,140,5,0 to 101,46,1611,1453,40,2933,171,0,198,2352,15,1391,157,1428,1675,0,1,2932,1281,27,117,3,625,680,3,1308,19,62,320,226,234,205,202,88,55,15,2,0 to 101,39,1012,80,57,159,263,895,150,180,17,67,3,0,16,1428,737,688,1308,120,0,8377,54,9896,8431,1428,16,774,719,{31CA379B-FB64-4C77-9456-056BCF505A65},39,3.6013887783029053,0.25487062208733263
52,52,32,063,JACKSON,Jackson,FL,4827,57,115,439,880,857,834,711,439,295,194,6,0 to 105,45,1957,2799,71,4797,30,0,47,2888,19,1800,46,1936,2885,1,5,4791,1866,55,14,1,563,1347,11,1921,17,52,183,415,393,350,263,129,76,58,0,0 to 100,42,810,371,91,649,74,787,1060,151,2,102,0,0,41,1936,1355,569,1921,15,0,9983,18,11951,10001,1936,41,1174,976,{BAF89079-8026-4E6B-B424-2DD9BC8AF99D},42,2.2164651060825427,0.2310932808082651
53,53,67,133,WASHINGTON,Washington,FL,1832,38,55,163,294,285,304,323,182,130,58,0,0 to 119,47,890,900,42,1819,13,0,47,1231,9,929,15,877,941,0,14,1805,781,86,9,1,295,552,20,867,12,25,88,193,162,151,124,65,46,11,0,0 to 99,42,459,208,23,177,21,485,361,50,2,42,1,0,14,877,556,301,867,10,0,5376,4,6278,5380,877,14,547,491,{ED919630-6DB9-4E1B-B6B4-EAFA4D161468},42,2.379530617907179,0.14998158443964985
54,54,45,089,NASSAU,Nassau,FL,4665,68,114,502,522,574,669,850,727,443,192,4,0 to 103,53,2580,1996,89,4489,176,0,239,3428,28,817,135,1253,3381,0,31,4459,1144,31,76,2,598,576,1,1175,17,37,253,171,190,195,192,119,55,24,0,0 to 95,43,781,121,59,214,63,866,246,162,6,74,1,0,11,1253,609,643,1175,78,0,13777,97,15145,13874,1253,11,1283,1277,{4D22D524-13F7-4497-919B-BC6894006209},43,3.7594213077324343,0.1544196859093086
55,55,22,043,GLADES,Glades,FL,586,9,24,62,123,142,84,68,37,30,6,1,0 to 90,39,215,370,1,586,0,0,59,341,3,395,1,406,180,0,0,586,404,2,0,0,113,293,0,406,6,11,43,99,117,65,48,10,5,2,0,0 to 89,38,293,77,22,14,170,214,22,45,0,30,0,0,3,406,293,113,406,0,0,727,0,1135,727,406,3,232,173,{DB14356A-7E77-445A-A524-193DAC2519E8},38,2.276843366242558,0.23195700955234813
56,56,8,015,CHARLOTTE,Charlotte,FL,7249,82,93,464,670,734,1032,1372,1314,881,600,7,0 to 119,58,4127,3050,72,7226,23,0,682,5528,62,1716,44,2281,4956,1,11,7214,2049,225,6,1,1174,1079,21,2274,23,49,244,262,243,332,413,328,224,162,1,0 to 101,54,1687,132,138,317,177,1687,410,227,1,237,1,0,94,2281,1081,1178,2274,7,0,24171,16,26501,24187,2281,94,281,262,{2C59A1CC-D054-4DF6-BEF0-43EEC4A23784},54,3.8321805931522803,0.16585624394389412
57,57,58,115,SARASOTA,Sarasota,FL,18936,219,410,1617,2176,2066,2486,3190,3298,2287,1123,64,0 to 119,56,10419,8248,269,18664,272,0,827,16727,190,2726,118,6314,12598,1,23,18642,6179,82,46,7,3246,2863,152,6261,69,224,994,1088,925,898,804,598,415,276,23,0 to 104,43,2476,370,524,2891,583,2172,3506,405,18,373,12,2,162,6314,2893,3269,6261,53,0,68021,224,74608,68245,6314,162,1077,972,{63CF7F11-0E2E-4C45-8079-812F07405F88},43,2.5144239533088304,0.13745510082611065
58,58,14,027,DESOTO,Desoto,FL,3604,98,223,377,544,559,605,598,342,179,75,4,0 to 102,44,1484,2002,118,3591,13,0,180,2276,48,1352,24,1377,2221,1,5,3585,1241,133,3,0,565,805,4,1374,42,121,188,268,260,210,163,83,30,12,0,0 to 97,37,852,139,83,300,661,375,338,201,1,102,1,0,18,1377,806,567,1374,3,0,8252,13,9649,8265,1377,18,1374,1241,{0D73423D-03C5-4BA5-9BFD-C106F87EB222},36,1.6241290510468296,0.15072312416893652
59,59,18,035,FLAGLER,Flagler,FL,5015,77,103,365,523,605,723,929,901,546,236,7,0 to 119,56,2906,2057,52,4975,40,0,368,3831,37,909,63,1095,3914,0,6,4969,957,128,10,0,596,483,6,1085,18,48,152,153,139,178,172,140,72,22,1,0 to 94,47,616,173,205,91,165,803,117,152,4,90,2,1,13,1095,489,600,1085,10,0,14118,30,15262,14148,1095,13,1266,1231,{0E4D3C2D-FB56-4A06-8B04-3AD9BFF072BC},47,2.0945907771160415,0.1204163459784971
60,60,26,051,HENDRY,Hendry,FL,3773,135,220,550,677,614,543,474,273,164,116,7,0 to 104,39,1857,1904,12,3770,3,0,425,1773,32,1692,27,1805,1968,0,0,3770,1753,51,1,0,813,987,4,1804,57,116,295,364,327,270,188,106,52,30,0,0 to 101,37,1434,201,69,100,1228,491,85,285,0,153,0,0,38,1805,988,813,1804,1,0,6629,2,8453,6631,1805,38,2382,1955,{71664F0E-3199-410F-AD8C-5269FFA55669},37,2.7519579981889994,0.27906345332229426
61,61,31,061,INDIAN RIVER,Indian River,FL,8289,123,243,774,903,901,1071,1258,1309,958,734,15,0 to 119,56,4922,3318,49,8217,72,0,401,5978,77,2380,101,2555,5679,1,54,8164,2522,18,13,2,1371,1142,27,2540,45,136,394,398,356,364,296,218,192,155,1,0 to 101,43,1087,277,295,881,480,980,1080,334,7,194,3,0,57,2555,1151,1377,2540,15,0,24800,56,27423,24856,2555,57,2273,1788,{193731CA-A50A-4707-8EB3-D6585D669C9C},43,2.2377240468982293,0.12074147873533697
62,62,6,011,BROWARD,Broward,FL,156240,3770,6155,15605,25097,24861,26235,25592,16179,8292,4222,232,0 to 119,46,84032,70820,1388,154491,1749,0,9370,113269,2336,43972,1360,63605,92422,28,185,154281,58984,4098,490,33,32818,30063,201,63082,1362,3372,9246,12294,11043,10377,8468,4217,2087,1102,37,0 to 119,39,23704,16452,6808,16118,21985,25411,15686,7468,88,4002,67,26,856,63605,30405,32997,63082,523,0,377044,1310,442737,378354,63605,856,26615,26246,{4AC0D3A0-87B8-4126-9CF4-96DC2D84D1C4},39,2.791976328336403,0.2836631565167555
63,63,17,033,ESCAMBIA,Escambia,FL,26063,552,785,2961,4027,3374,3503,4298,3433,1944,1079,107,0 to 119,49,14760,11146,157,22620,3443,0,1384,21347,183,3749,236,9807,16246,1,9,22610,8824,90,893,0,4457,4341,116,8914,120,357,1725,1938,1524,1286,1237,820,508,280,12,0 to 105,38,3275,2148,690,2801,305,5430,3179,942,10,563,8,10,131,9807,4721,4970,8914,893,0,60446,2628,72935,63074,9807,131,1199,1119,{3780C858-9510-4A33-A345-0ACD39C89BB6},38,4.369183086156838,0.1664098676562923
64,64,47,093,OKEECHOBEE,Okeechobee,FL,2624,62,145,406,366,342,327,379,232,205,148,12,0 to 119,44,1441,1163,20,2612,12,0,299,1499,2,955,17,1077,1545,0,2,2610,1010,63,4,0,530,540,3,1073,32,95,205,175,176,134,144,48,49,18,1,0 to 94,36,725,111,140,97,518,442,113,147,1,100,3,0,12,1077,541,533,1073,4,0,5591,8,6690,5599,1077,12,1034,953,{DD469486-5BA8-475C-9DDC-A21CC360CAEC},36,2.5876112567454856,0.2105452122322697
65,65,19,037,FRANKLIN,Franklin,FL,990,5,17,80,165,145,137,186,154,83,18,0,0 to 95,50,398,590,2,985,5,0,26,534,0,430,18,433,555,0,2,983,423,8,2,0,75,356,0,431,0,6,40,124,98,65,65,24,9,2,0,6 to 85,38,232,189,5,5,40,335,56,12,0,5,0,0,2,433,356,77,431,2,0,3483,3,3925,3486,433,2,165,164,{9F12DFF3-9143-493B-867B-127F2B6BFF20},38,4.4393517054799485,0.13501380862042475
66,66,1,001,ALACHUA,Alachua,FL,18885,275,380,2639,3629,2685,2615,2895,2091,994,614,68,0 to 119,44,10818,7927,140,18580,305,0,1083,16645,61,2177,127,4246,14629,6,4,18570,4029,160,45,12,2299,1880,10,4189,66,177,1145,962,528,497,432,273,110,53,3,0 to 103,31,1401,1265,525,998,523,2504,1162,355,11,184,12,1,26,4246,1913,2322,4189,57,0,67647,258,72175,67905,4246,26,240,218,{9EDDB8FB-00DD-45F1-A09D-8E689049E28A},31,2.6253323923130383,0.23399691333318842
67,67,55,109,ST. JOHNS,St. Johns,FL,13987,188,447,1618,1576,2041,2327,2350,1924,1020,478,18,0 to 119,49,7555,6243,189,13925,62,0,882,10644,208,2804,309,3738,10193,10,46,13870,3379,316,39,4,1876,1783,36,3695,36,124,834,516,548,598,550,288,159,84,1,0 to 101,41,2430,290,227,748,278,2537,880,312,5,200,5,0,36,3738,1802,1899,3695,43,0,37740,18,41527,37758,3738,36,2975,2935,{8C0A9F2C-C490-4BBC-9E26-85B6F4AEFEB1},41,3.2463364568121142,0.15487996912821236
69,68,999,999,Unknown,Unknown,FL,2123,13,27,211,309,304,312,281,175,226,255,10,0 to 119,50,1308,783,32,532,1591,0,5,1823,0,30,19,721,1398,1,3,529,225,2,489,5,108,106,13,227,12,20,128,153,123,116,97,37,22,6,7,0 to 94,38,58,32,29,108,83,33,111,0,5,0,3,1,0,721,341,355,227,494,0,4332,1093,6179,5425,721,0,6845,6843,{D1373507-E2BB-431D-A2F9-63F6067C627A},37,0,0
70,69,998,998,A State,State,FL,1396448,24315,41408,143249,214872,203579,218556,222620,168988,97723,48071,13067,0 to 225,48,754062,629544,12842,1378400,18040,8,85735,1101655,0,280474,10793,542792,849832,380,3444,1374620,518355,18626,5600,211,274173,258846,3962,536981,9117,21476,81873,104403,89571,86873,70413,40773,23328,13501,1464,0 to 119,40,213312,81559,62658,179452,144658,188538,203785,53367,604,31354,396,132,8553,542792,261763,276908,536973,5811,8,3493789,12694,4055587,3506483,542792,8553,162243,149298,{E2D719EF-85BC-44E7-84ED-AF74AD1EC87D},40,0,0
